category_id,language_id,name,description,meta_title,meta_description,meta_keyword,custom_title
178,1,Favorite Pets,&lt;p&gt;&lt;img src=&quot;https://speedyorders.com/image/catalog/2021-Alex/Birthday Theme/Favorite Pets.jpg&quot; style=&quot;width: 1479px;&quot;&gt;&lt;br&gt;&lt;/p&gt;,Favorite Pets,Favorite Pets,favorite pets,NULL
179,1,Special Items,,Special Items,Special Items,special items,
180,1,Birthday,"&lt;center&gt;&lt;h1 style=&quot;text-align: center;&quot;&gt;&lt;font face=&quot;Arial Black&quot; style=&quot;&quot; color=&quot;#424242&quot;&gt;Birthday Party&lt;/font&gt;&lt;/h1&gt;&lt;h1 style=&quot;text-align: center;&quot;&gt;&lt;img src=&quot;https://speedyorders.com/image/catalog/2021-Alex/Basic/birthday.jpg&quot; style=&quot;color: inherit; font-family: inherit; width: 1479px;&quot;&gt;&lt;br&gt;&lt;/h1&gt;&lt;/center&gt;&lt;p style=&quot;text-align: center; &quot;&gt;&lt;b&gt;&lt;font color=&quot;#ff9c00&quot;&gt;&lt;em style=&quot;font-family: &amp;quot;Avenir LT W01 45 Book&amp;quot;, sans-serif; font-size: 18px;&quot;&gt;&lt;span style=&quot;font-size: 24px;&quot;&gt;Another year wiser or another reason to celebrate!&amp;nbsp;&lt;/span&gt;&lt;/em&gt;&lt;/font&gt;&lt;/b&gt;&lt;br&gt;&lt;/p&gt;&lt;p&gt;&lt;/p&gt;&lt;div style=&quot;text-align: center;&quot;&gt;&lt;span style=&quot;color: rgb(75, 73, 76); font-family: arial, helvetica, sans-serif; font-size: small;&quot;&gt;Birthdays only come once a year and everyone deserves to celebrate it in an awesome way!&lt;/span&gt;&lt;span style=&quot;color: rgb(75, 73, 76); font-family: arial, helvetica, sans-serif; font-size: small;&quot;&gt;&amp;nbsp;&lt;/span&gt;&lt;/div&gt;&lt;div style=&quot;text-align: center;&quot;&gt;&lt;span style=&quot;color: rgb(75, 73, 76); font-family: arial, helvetica, sans-serif; font-size: small;&quot;&gt;From&amp;nbsp;the first birthday to&amp;nbsp;milestone&amp;nbsp;birthday parties, there is&amp;nbsp;plenty of themes to select from especially for your guest of honor.&amp;nbsp;&lt;/span&gt;&lt;/div&gt;&lt;div style=&quot;text-align: center;&quot;&gt;You can&amp;nbsp;&lt;span style=&quot;color: rgb(75, 73, 76); font-family: arial, helvetica, sans-serif; font-size: small;&quot;&gt;personalize party decorations to make it extra-special for your loved one.&lt;/span&gt;&lt;/div&gt;&lt;p&gt;&lt;/p&gt;","Birthday Banners, Birthday photobooth, birthday props, Birthday invitations, Birthday balloon, First birthday, Birthday tshirts, Birthday party supplies","Birthday Banners, Birthday photobooth, birthday props, Birthday invitations, Birthday balloon, First birthday, Birthday tshirts, Birthday party supplies","Birthday Banners, Birthday photobooth, birthday props, Birthday invitations, Birthday balloon, First birthday, Birthday tshirts, Birthday party supplies",NULL
200,1,Graduation,"&lt;center&gt;&lt;h1&gt;&lt;font face=&quot;Arial Black&quot; color=&quot;#424242&quot;&gt;Graduation Party&lt;/font&gt;&lt;/h1&gt;&lt;h1&gt;&lt;img src=&quot;https://speedyorders.com/image/catalog/2021-Alex/Basic/graduation.jpg&quot; style=&quot;color: inherit; font-family: inherit; width: 1479px;&quot;&gt;&lt;br&gt;&lt;/h1&gt;&lt;/center&gt;&lt;p style=&quot;text-align: center;&quot;&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;text-align: center;&quot;&gt;&lt;b&gt;&lt;font color=&quot;#ff9c00&quot;&gt;&lt;em style=&quot;font-family: &amp;quot;Avenir LT W01 45 Book&amp;quot;, sans-serif; font-size: 18px;&quot;&gt;&lt;span style=&quot;font-size: 24px;&quot;&gt;&amp;nbsp;Congrats, You Did It!&lt;/span&gt;&lt;/em&gt;&lt;/font&gt;&lt;/b&gt;&lt;b&gt;&lt;font color=&quot;#ff9c00&quot;&gt;&lt;em style=&quot;font-family: &amp;quot;Avenir LT W01 45 Book&amp;quot;, sans-serif; font-size: 18px;&quot;&gt;&lt;span style=&quot;font-size: 24px;&quot;&gt;&amp;nbsp;&lt;/span&gt;&lt;/em&gt;&lt;/font&gt;&lt;/b&gt;&lt;/p&gt;&lt;div style=&quot;text-align: center;&quot;&gt;&lt;span style=&quot;color: rgb(51, 51, 51); font-family: Arial, Helvetica, sans-serif; font-size: 16px; text-align: start;&quot;&gt;Graduation is not only a milestone for students, but it’s also a milestone for the family and friends who have supported them.&amp;nbsp;&lt;/span&gt;&lt;/div&gt;&lt;div style=&quot;text-align: center;&quot;&gt;&lt;span style=&quot;color: rgb(75, 73, 76); font-family: arial, helvetica, sans-serif; font-size: small; text-align: left;&quot;&gt;Whether you’re celebrating high school graduation, college graduation or even elementary school graduation, we have something for everyone.&lt;/span&gt;&lt;/div&gt;&lt;div style=&quot;text-align: center;&quot;&gt;&lt;span style=&quot;color: rgb(75, 73, 76); font-family: arial, helvetica, sans-serif; font-size: small; text-align: left;&quot;&gt;Select from lots of themes to honor the graduate and celebrate their accomplishments&lt;/span&gt;&lt;/div&gt;&lt;div style=&quot;text-align: center;&quot;&gt;&lt;font color=&quot;#4b494c&quot; style=&quot;font-family: arial, helvetica, sans-serif; font-size: small; text-align: start;&quot;&gt;Best of all Personalization is&amp;nbsp;&lt;/font&gt;&lt;span style=&quot;font-family: arial, helvetica, sans-serif; text-align: start; font-size: 24px;&quot;&gt;&lt;font color=&quot;#ff9c00&quot;&gt;Free&lt;/font&gt;&lt;/span&gt;&lt;span style=&quot;color: rgb(51, 51, 51); font-family: Arial, Helvetica, sans-serif; font-size: 16px; text-align: start;&quot;&gt;&lt;br&gt;&lt;/span&gt;&lt;/div&gt;","Graduation Banners, Graduation photo booth, Graduation Balloon, Graduation props, Graduation poster, Graduation sign, Graduation backdrop, Graduation shirts","Graduation Banners, Graduation photo booth, Graduation Balloon, Graduation props, Graduation poster, Graduation sign, Graduation backdrop, Graduation shirts","Graduation Banners, Graduation photo booth, Graduation Balloon, Graduation props, Graduation poster, Graduation sign, Graduation backdrop, Graduation shirts",NULL
201,1,Military,"&lt;h1 style=&quot;margin-bottom: 20px; font-size: 36px; font-family: &amp;quot;IBM Plex Sans&amp;quot;; font-weight: 700; color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); text-align: -webkit-center;&quot;&gt;&lt;font color=&quot;#424242&quot; face=&quot;Arial Black&quot;&gt;Military&lt;/font&gt;&lt;/h1&gt;&lt;h1 style=&quot;margin-bottom: 20px; font-size: 36px; font-family: &amp;quot;IBM Plex Sans&amp;quot;; font-weight: 700; color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); text-align: -webkit-center;&quot;&gt;&lt;img src=&quot;https://speedyorders.com/image/catalog/2021-Alex/Special Events/military.jpg&quot; style=&quot;width: 1479px;&quot;&gt;&lt;font color=&quot;#424242&quot; face=&quot;Arial Black&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/h1&gt;&lt;h1 style=&quot;margin-bottom: 20px; font-size: 36px; font-family: &amp;quot;IBM Plex Sans&amp;quot;; font-weight: 700; color: rgb(51, 51, 51); caret-color: rgb(51, 51, 51); text-align: -webkit-center;&quot;&gt;&lt;font color=&quot;#424242&quot; face=&quot;Arial Black&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/h1&gt;",Military Banners,Military Banners,military,NULL
202,1,Selfie Frame,"&lt;center&gt;&lt;h1 style=&quot;&quot;&gt;&lt;font color=&quot;#424242&quot; face=&quot;Arial Black&quot;&gt;Photo Booth Frame&lt;/font&gt;&lt;/h1&gt;&lt;h1 style=&quot;&quot;&gt;&lt;img src=&quot;https://speedyorders.com/image/catalog/000Sergii/social frame.jpg&quot; style=&quot;width: 1680px;&quot;&gt;&lt;font color=&quot;#424242&quot; face=&quot;Arial Black&quot;&gt;&lt;br&gt;&lt;/font&gt;&lt;/h1&gt;&lt;h1 style=&quot;&quot;&gt;&lt;b style=&quot;font-family: &amp;quot;Times New Roman&amp;quot;; font-size: 14px; color: inherit;&quot;&gt;The Photo Booth Selfie Frame is just what you need to make your celebration feel extra fun! It will be customized just for you, PRINTED and shipped to you.&lt;/b&gt;&lt;/h1&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;This is a &lt;b&gt;DO IT YOURSELF PROJECT.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;b style=&quot;&quot;&gt;&lt;font color=&quot;#ff9c00&quot;&gt;YOUR ONLY GETTING POSTER.&lt;/font&gt;&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;You would have to Mount it yourself to any cardboard or board.&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;Size: 36x24 Fits 1-2 people per frame. Size: 48x36 Fits 2-3 people per frame.&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;iframe frameborder=&quot;0&quot; src=&quot;//www.youtube.com/embed/w9V-QipcOKA&quot; width=&quot;640&quot; height=&quot;360&quot; class=&quot;note-video-clip&quot;&gt;&lt;/iframe&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;&lt;br&gt;&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;/center&gt;",Selfie Frame,"Selfie Frame - &lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13p",selfie frame,NULL
203,1,Holiday Cutouts,"&lt;center&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;img src=&quot;https://speedyorders.com/image/catalog/000Sergii/social frame.jpg&quot; style=&quot;width: 784px;&quot;&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;This is a &lt;b&gt;DO IT YOURSELF PROJECT.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;b&gt;YOUR ONLY GETTING POSTER.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;You would have to Mount it yourself to any cardboard or board.&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;Size: 36x24 Fits 1-2 people per frame. Size: 48x36 Fits 2-3 people per frame.&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;iframe frameborder=&quot;0&quot; src=&quot;//www.youtube.com/embed/w9V-QipcOKA&quot; width=&quot;640&quot; height=&quot;360&quot; class=&quot;note-video-clip&quot;&gt;&lt;/iframe&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;&lt;br&gt;&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;/center&gt;",Holiday Cutouts,Holiday Cutouts,holiday cutouts,NULL
204,1,Baby Showers,"&lt;center&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;This is a &lt;b&gt;DO IT YOURSELF PROJECT.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;b&gt;YOUR ONLY GETTING POSTER.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;You would have to Mount it yourself to any cardboard or board.&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;Size: 36x24 Fits 1-2 people per frame. Size: 48x36 Fits 2-3 people per frame.&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;iframe frameborder=&quot;0&quot; src=&quot;//www.youtube.com/embed/w9V-QipcOKA&quot; width=&quot;640&quot; height=&quot;360&quot; class=&quot;note-video-clip&quot;&gt;&lt;/iframe&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;&lt;br&gt;&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;/center&gt;",Baby Showers,Baby Showers,baby showers,
205,1,Party Frames,"&lt;center&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;This is a &lt;b&gt;DO IT YOURSELF PROJECT.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;b&gt;YOUR ONLY GETTING POSTER.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;You would have to Mount it yourself to any cardboard or board.&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;Size: 36x24 Fits 1-2 people per frame. Size: 48x36 Fits 2-3 people per frame.&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;iframe frameborder=&quot;0&quot; src=&quot;//www.youtube.com/embed/w9V-QipcOKA&quot; width=&quot;640&quot; height=&quot;360&quot; class=&quot;note-video-clip&quot;&gt;&lt;/iframe&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;&lt;br&gt;&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;/center&gt;",Party Frames,Party Frames,party frames,
206,1,Social Media Frames,"&lt;center&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;img src=&quot;https://speedyorders.com/image/catalog/2021-Alex/social frame.jpg&quot; style=&quot;width: 1479px;&quot;&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;This is a &lt;b&gt;DO IT YOURSELF PROJECT.&lt;/b&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;b&gt;YOUR ONLY GETTING POSTER.&lt;/b&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;You would have to Mount it yourself to any cardboard or board.&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;Size: 36x24 Fits 1-2 people per frame. Size: 48x36 Fits 2-3 people per frame.&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;p style=&quot;-webkit-font-smoothing: antialiased; -webkit-tap-highlight-color: transparent; margin-bottom: 10px; padding: 0px; border: 0px; outline: 0px; color: rgb(51, 55, 69); font-family: Helvetica, Arial, sans-serif; font-size: 13px;&quot;&gt;&lt;iframe frameborder=&quot;0&quot; src=&quot;//www.youtube.com/embed/w9V-QipcOKA&quot; width=&quot;640&quot; height=&quot;360&quot; class=&quot;note-video-clip&quot;&gt;&lt;/iframe&gt;&lt;span style=&quot;background-color: rgb(244, 244, 244);&quot;&gt;&lt;br&gt;&lt;/span&gt;&lt;br&gt;&lt;/p&gt;&lt;/center&gt;",Social Media Frames,Social Media Frames,social media frames,NULL
