Group,Zip Code,Delivery Time,Package,Price
Pennsylvania Western,15825,ground,26x3x3 1lb packages poster,11.16
Pennsylvania Western,15825,3day,26x3x3 1lb packages poster,13.03
Pennsylvania Western,15825,2nd,26x3x3 1lb packages poster,13.71
Pennsylvania Western,15825,nextday,26x3x3 1lb packages poster,24.56
Pennsylvania Western,15825,ground,36x3x3 3lb packages poster,11.16
Pennsylvania Western,15825,3day,36x3x3 3lb packages poster,13.03
Pennsylvania Western,15825,2nd,36x3x3 3lb packages poster,13.71
Pennsylvania Western,15825,nextday,36x3x3 3lb packages poster,27.01
Pennsylvania Western,15825,ground,26x27x1 5lb packages small MOUNTED,11.16
Pennsylvania Western,15825,3day,26x27x1 5lb packages small MOUNTED,13.03
Pennsylvania Western,15825,2nd,26x27x1 5lb packages small MOUNTED,13.71
Pennsylvania Western,15825,nextday,26x27x1 5lb packages small MOUNTED,30.61
Pennsylvania Western,15825,ground,50x38x1 7lb packages huge MOUNTED,23.26
Pennsylvania Western,15825,3day,50x38x1 7lb packages huge MOUNTED,26.58
Pennsylvania Western,15825,2nd,50x38x1 7lb packages huge MOUNTED,28.81
Pennsylvania Western,15825,nextday,50x38x1 7lb packages huge MOUNTED,59.57
Pennsylvania Eastern,17815,ground,26x3x3 1lb packages poster,9.48
Pennsylvania Eastern,17815,3day,26x3x3 1lb packages poster,11.29
Pennsylvania Eastern,17815,2nd,26x3x3 1lb packages poster,11.96
Pennsylvania Eastern,17815,nextday,26x3x3 1lb packages poster,22.82
Pennsylvania Eastern,17815,ground,36x3x3 3lb packages poster,9.49
Pennsylvania Eastern,17815,3day,36x3x3 3lb packages poster,11.29
Pennsylvania Eastern,17815,2nd,36x3x3 3lb packages poster,11.96
Pennsylvania Eastern,17815,nextday,36x3x3 3lb packages poster,25.27
Pennsylvania Eastern,17815,ground,26x27x1 5lb packages small MOUNTED,9.48
Pennsylvania Eastern,17815,3day,26x27x1 5lb packages small MOUNTED,11.29
Pennsylvania Eastern,17815,2nd,26x27x1 5lb packages small MOUNTED,11.97
