product_image_id,product_id,image,sort_order,is_compress
87725,1102,catalog/GorasJulyTest/birthday-parties-photo-booth-prop-selfie-frame-diy-speedyorders.jpg,0,0
87726,1102,catalog/GorasJulyTest/logo_speedy_orders--photo-booth--photobooth-personalized-selfie-custom-proprs-birthday-posters-wedding.png,1,0
87727,1102,catalog/GorasJulyTest/logo_speedy_or ders-photo-booth -frame-prop-si gns-photobooth -personalized- selfie-custom- proprs-birthda y-posters-wedd ing-sign-artwo rk-decor.png,2,0
87728,1102,catalog/GorasJulyTest/speedy-orders-about-us-custom-posters-banners.jpg,3,0
87978,47705,catalog/products/aint-no-brother-and-sister-like-the-one-i-got-shirts-sibling-shirts-brother-and-sister-gift-ideas-custom-printed-shirt-a55186.jpg,0,0
87979,47705,catalog/products/aint-no-brother-and-sister-like-the-one-i-got-shirts-sibling-shirts-brother-and-sister-gift-ideas-custom-printed-shirt-a55187.jpg,1,0
87980,47705,catalog/products/aint-no-brother-and-sister-like-the-one-i-got-shirts-sibling-shirts-brother-and-sister-gift-ideas-custom-printed-shirt-a55188.jpg,2,0
87981,47705,catalog/products/aint-no-brother-and-sister-like-the-one-i-got-shirts-sibling-shirts-brother-and-sister-gift-ideas-custom-printed-shirt-a55189.jpg,3,0
87982,47705,catalog/products/aint-no-brother-and-sister-like-the-one-i-got-shirts-sibling-shirts-brother-and-sister-gift-ideas-custom-printed-shirt-a55190.jpg,4,0
87983,47705,catalog/products/aint-no-brother-and-sister-like-the-one-i-got-shirts-sibling-shirts-brother-and-sister-gift-ideas-custom-printed-shirt-a55191.jpg,5,0
88129,47670,catalog/products/BabyGirlShowerCELEBRATINGposterCustomizeyournamekidnamedecorationsbabyshowerforagirlfemalebabypartybanner1.jpg,0,0
88177,45997,catalog/products/baby-shower-shirt-mustache-little-man-shirt-little-man-shirt-baby-mustache-shirt-custom-mustache-shirt-personalized-little-man-a55256.jpg,0,0
88178,45997,catalog/products/baby-shower-shirt-mustache-little-man-shirt-little-man-shirt-baby-mustache-shirt-custom-mustache-shirt-personalized-little-man-a55257.jpg,1,0
88179,45997,catalog/products/baby-shower-shirt-mustache-little-man-shirt-little-man-shirt-baby-mustache-shirt-custom-mustache-shirt-personalized-little-man-a55258.jpg,2,0
88180,45997,catalog/products/baby-shower-shirt-mustache-little-man-shirt-little-man-shirt-baby-mustache-shirt-custom-mustache-shirt-personalized-little-man-a55259.jpg,3,0
88181,45997,catalog/products/baby-shower-shirt-mustache-little-man-shirt-little-man-shirt-baby-mustache-shirt-custom-mustache-shirt-personalized-little-man-a55260.jpg,4,0
88211,46588,catalog/Arsalan/Ars/il_570xN.1535072643_6r7d.jpg,0,0
88212,48046,catalog/Alex - July 2/CCC/9000019-36x24.jpg,0,0
88242,47717,catalog/products/baseball-sports-photo-booth-prop-take-me-out-to-the-ball-game-baseball-baseball-photo-prop-baseball-fan-party-prop-a55281.jpg,0,0
88294,47724,catalog/products/beer-shirt-drinking-shirt-brew-dad-micro-brewing-father-and-son-dad-and-son-shirt-custom-printed-shirt-a55293.jpg,0,0
88295,47724,catalog/products/beer-shirt-drinking-shirt-brew-dad-micro-brewing-father-and-son-dad-and-son-shirt-custom-printed-shirt-a55294.jpg,1,0
88296,47724,catalog/products/beer-shirt-drinking-shirt-brew-dad-micro-brewing-father-and-son-dad-and-son-shirt-custom-printed-shirt-a55295.jpg,2,0
88297,47724,catalog/products/beer-shirt-drinking-shirt-brew-dad-micro-brewing-father-and-son-dad-and-son-shirt-custom-printed-shirt-a55296.jpg,3,0
88298,47724,catalog/products/beer-shirt-drinking-shirt-brew-dad-micro-brewing-father-and-son-dad-and-son-shirt-custom-printed-shirt-a55297.jpg,4,0
88299,47724,catalog/products/beer-shirt-drinking-shirt-brew-dad-micro-brewing-father-and-son-dad-and-son-shirt-custom-printed-shirt-a55298.jpg,5,0
