product_option_value_id,product_option_id,product_id,option_id,option_value_id,quantity,subtract,price,price_prefix,points,points_prefix,weight,weight_prefix
54655,47581,1102,13,319,0,0,59.99,+,0,+,0,+
54656,47584,1102,1229,148,0,1,0,+,0,+,0,+
54657,47584,1102,1229,147,0,1,0,+,0,+,0,+
54701,47602,46808,13,62,1000,0,0,+,0,+,0,+
54702,47602,46808,13,64,1000,0,14,+,0,+,0,+
54703,47602,46808,13,197,1000,0,30,+,0,+,0,+
54704,47603,46810,13,64,1000,0,14,+,0,+,0,+
54705,47603,46810,13,62,1000,0,0,+,0,+,0,+
54706,47603,46810,13,197,1000,0,30,+,0,+,0,+
54707,47604,46815,13,64,1000,0,14,+,0,+,0,+
54708,47604,46815,13,62,1000,0,0,+,0,+,0,+
54709,47604,46815,13,197,1000,0,30,+,0,+,0,+
54710,47605,46809,13,64,1000,0,14,+,0,+,0,+
54711,47605,46809,13,62,1000,0,0,+,0,+,0,+
54712,47605,46809,13,197,1000,0,30,+,0,+,0,+
54713,47606,48327,361,71,1000,1,0,+,0,+,0,+
54714,47606,48327,361,72,1000,1,0,+,0,+,0,+
54715,47606,48327,361,73,1000,1,0,+,0,+,0,+
54716,47606,48327,361,74,1000,1,0,+,0,+,0,+
54717,47606,48327,361,75,1000,1,1,+,0,+,0,+
54718,47606,48327,361,76,1000,1,1,+,0,+,0,+
54719,47606,48327,361,77,1000,1,1,+,0,+,0,+
54720,47606,48327,361,78,1000,1,1,+,0,+,0,+
54721,47606,48327,361,79,1000,1,1,+,0,+,0,+
54722,47609,46814,13,64,1000,0,14,+,0,+,0,+
54723,47609,46814,13,62,1000,0,0,+,0,+,0,+
54724,47609,46814,13,197,1000,0,30,+,0,+,0,+
54725,47610,46807,13,64,1000,0,14,+,0,+,0,+
54726,47610,46807,13,62,1000,0,0,+,0,+,0,+
54727,47610,46807,13,197,1000,0,30,+,0,+,0,+
54728,47611,46816,13,64,1000,0,14,+,0,+,0,+
54729,47611,46816,13,62,1000,0,0,+,0,+,0,+
54730,47611,46816,13,197,1000,0,30,+,0,+,0,+
54731,47612,46811,13,62,1000,0,0,+,0,+,0,+
54732,47612,46811,13,64,1000,0,14,+,0,+,0,+
54733,47612,46811,13,197,1000,0,30,+,0,+,0,+
54734,47613,46812,13,64,1000,0,14,+,0,+,0,+
54735,47613,46812,13,62,1000,0,0,+,0,+,0,+
54736,47613,46812,13,197,1000,0,30,+,0,+,0,+
54737,47614,46806,13,62,1000,0,0,+,0,+,0,+
54738,47614,46806,13,64,1000,0,14,+,0,+,0,+
54739,47614,46806,13,197,1000,0,30,+,0,+,0,+
54740,47615,48296,13,324,0,0,2,+,0,+,0,+
54741,47615,48296,13,325,0,0,14,+,0,+,0,+
54742,47615,48296,13,197,0,0,31,+,0,+,0,+
54743,47615,48296,13,319,0,0,57,+,0,+,0,+
54744,47616,48296,1227,375,0,0,0,+,0,+,0,+
54745,47616,48296,1227,376,0,0,0,+,0,+,0,+
54750,47620,48265,13,324,0,0,2,+,0,+,0,+
54751,47620,48265,13,197,0,0,31,+,0,+,0,+
54752,47620,48265,13,325,0,0,14,+,0,+,0,+
54753,47620,48265,13,319,0,0,57,+,0,+,0,+
54754,47621,48319,13,324,0,0,2,+,0,+,0,+
54755,47621,48319,13,325,0,0,14,+,0,+,0,+
54756,47621,48319,13,197,0,0,31,+,0,+,0,+
54757,47621,48319,13,319,0,0,57,+,0,+,0,+
54758,47622,48319,1227,375,0,0,0,+,0,+,0,+
54759,47622,48319,1227,376,0,0,0,+,0,+,0,+
54760,47623,48316,361,71,1000,1,0,+,0,+,0,+
54761,47623,48316,361,72,1000,1,0,+,0,+,0,+
54762,47623,48316,361,73,1000,1,0,+,0,+,0,+
54763,47623,48316,361,74,1000,1,0,+,0,+,0,+
54764,47623,48316,361,75,1000,1,1,+,0,+,0,+
